Ingredient_name,Category,calories,protein,fats,carbohydrates,fiber,vitamins,Minerals,Notes / Aliases
tomato,Vegetable,18,0.9,0.2,3.9,1.2,"Vitamin C, Vitamin A, Vitamin K","Potassium, Folate",
onion,Vegetable,40,1.1,0.1,9.3,1.7,"Vitamin C, Vitamin B6","Potassium, Folate",
red onion,Vegetable,40,1.1,0.1,9.3,1.7,"Vitamin C, Vitamin B6","Potassium, Folate",
shallot,Vegetable,72,2.5,0.1,16.8,3.2,"Vitamin C, Vitamin B6, Vitamin A","Potassium, Iron, Folate",
spring onion,Vegetable,32,1.8,0.2,7.3,2.6,"Vitamin C, Vitamin K, Vitamin A","Calcium, Iron",also called scallion or green onion
potato,Vegetable,77,2,0.1,17,2.2,"Vitamin C, Vitamin B6","Potassium, Magnesium",
sweet potato,Vegetable,86,1.6,0.1,20,3,"Vitamin A, Vitamin C, Vitamin B6","Potassium, Manganese",
purple yam,Vegetable,118,1.5,0.1,27.9,4.1,"Vitamin C, Vitamin B6","Potassium, Manganese",also called ube
yam,Vegetable,118,1.5,0.1,27.9,4.1,"Vitamin C, Vitamin B6","Potassium, Manganese",
taro root,Vegetable,112,1.5,0.2,26.5,4.1,"Vitamin C, Vitamin B6, Vitamin E","Potassium, Magnesium, Manganese",also called arbi or colocasia
colocasia,Vegetable,112,1.5,0.2,26.5,4.1,"Vitamin C, Vitamin B6, Vitamin E","Potassium, Magnesium, Manganese",same as taro root or arbi
green bell pepper,Vegetable,20,0.9,0.2,4.6,1.7,"Vitamin C, Vitamin B6, Vitamin A","Potassium, Folate",
red bell pepper,Vegetable,31,1,0.3,6,2.1,"Vitamin C, Vitamin A, Vitamin B6","Potassium, Folate",
yellow bell pepper,Vegetable,27,1,0.2,6.3,0.9,"Vitamin C, Vitamin B6","Potassium, Folate",
carrot,Vegetable,41,0.9,0.2,10,2.8,"Vitamin A, Vitamin K, Vitamin C","Potassium, Biotin",
cauliflower,Vegetable,25,1.9,0.3,5,2,"Vitamin C, Vitamin K, Vitamin B6","Folate, Potassium",
broccoli,Vegetable,34,2.8,0.4,6.6,2.6,"Vitamin C, Vitamin K, Vitamin A","Folate, Potassium, Iron",
